Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
IM;Adalimumab;Adalimumab;Amgevita, Hulio, Humira;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB04
IM;Amgevita;Adalimumab;Amgevita, Hulio, Humira;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB04
IM;Hulio;Adalimumab;Amgevita, Hulio, Humira;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB04
IM;Humira;Adalimumab;Amgevita, Hulio, Humira;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB04
SO;Aderlass;Aderlass;;ja;zelluläre Therapie;zelluläre Therapie;
ZS;Afatinib;Afatinib;Giotrif;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE13
ZS;Giotrif;Afatinib;Giotrif;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE13
IM;Afelimomab;Afelimomab;;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB03
ZS;Aflibercept;Aflibercept;Zaltrap;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XX44 
ZS;Zaltrap;Aflibercept;Zaltrap;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XX44 
IM;Aldesleukin;Aldesleukin;Proleukin;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L03AC01
IM;Proleukin;Aldesleukin;Proleukin;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L03AC01
ZS;Alecensa;Alectinib;Alecensa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE36
ZS;Alectinib;Alectinib;Alecensa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE36
IM;Alefacept;Alefacept;Amevive;ja;Immunmodulator;sonstiges Immunstimulanz;L04AA15
IM;Amevive;Alefacept;Amevive;ja;Immunmodulator;sonstiges Immunstimulanz;L04AA15
IM;Alemtuzumab;Alemtuzumab;Lemtrada;ja;Anderes antineoplastisches Mittel;Antikörper;L04AA34
IM;Lemtrada;Alemtuzumab;Lemtrada;ja;Anderes antineoplastisches Mittel;Antikörper;L04AA34
